unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1656633600,2022-07-01 00:00:00,BTC/USD,19960.61,20895.08,18944.69,19239.47,4424.08855864,85117119.10129753
1656547200,2022-06-30 00:00:00,BTC/USD,20098.00,20131.06,18595.60,19924.89,4907.84854025,97788342.30114181
1656460800,2022-06-29 00:00:00,BTC/USD,20253.88,20398.99,19827.00,20093.18,1605.32356204,32256055.29031089
1656374400,2022-06-28 00:00:00,BTC/USD,20722.27,21178.73,20176.00,20261.34,2048.68451940,41509093.6003
1656288000,2022-06-27 00:00:00,BTC/USD,21029.19,21516.85,20491.28,20699.72,1648.58803237,34125310.66540994
1656201600,2022-06-26 00:00:00,BTC/USD,21486.67,21868.00,20968.85,21028.69,1437.60709463,30230993.93477493
1656115200,2022-06-25 00:00:00,BTC/USD,21229.66,21586.67,20890.00,21486.80,1196.38466227,25706477.961263034
1656028800,2022-06-24 00:00:00,BTC/USD,21102.75,21538.40,20713.77,21215.42,2444.77217091,51866868.41016743
1655942400,2022-06-23 00:00:00,BTC/USD,19977.24,21204.14,19869.63,21093.42,2677.89902823,56486048.920047246
1655856000,2022-06-22 00:00:00,BTC/USD,20710.01,20863.44,19743.99,19963.68,4210.49538322,84056982.47208145
1655769600,2022-06-21 00:00:00,BTC/USD,20555.44,21708.76,20332.07,20712.29,3543.16812013,73387125.6228874
1655683200,2022-06-20 00:00:00,BTC/USD,20557.20,21036.89,19616.10,20555.44,5112.85052521,105096892.19992264
1655596800,2022-06-19 00:00:00,BTC/USD,18952.14,20783.48,17930.70,20552.82,5100.88311828,104837532.57104756
1655510400,2022-06-18 00:00:00,BTC/USD,20428.19,20758.00,17592.78,18956.80,7958.38532206,150865518.873227
1655424000,2022-06-17 00:00:00,BTC/USD,20387.66,21325.06,20220.16,20440.70,3615.09731757,73895119.7392531
1655337600,2022-06-16 00:00:00,BTC/USD,22563.82,22957.01,20200.00,20382.88,4889.12430380,99654433.98943895
1655251200,2022-06-15 00:00:00,BTC/USD,22077.83,22756.00,20079.72,22555.27,13481.53959307,304079765.537384
1655164800,2022-06-14 00:00:00,BTC/USD,22407.53,23288.88,20816.35,22097.30,8576.80050998,189524133.90918103
1655078400,2022-06-13 00:00:00,BTC/USD,26538.63,26845.63,21910.26,22450.43,12621.88318574,283366704.9296329
1654992000,2022-06-12 00:00:00,BTC/USD,28397.38,28523.06,26500.00,26585.10,2588.83347441,68824396.80053729
1654905600,2022-06-11 00:00:00,BTC/USD,29065.66,29403.62,28085.75,28390.94,1587.19524670,45061965.0173449
1654819200,2022-06-10 00:00:00,BTC/USD,30068.53,30333.81,28832.83,29065.66,2545.34126907,73982023.91075714
1654732800,2022-06-09 00:00:00,BTC/USD,30190.31,30672.56,29920.56,30089.03,953.92926451,28702806.257719327
1654646400,2022-06-08 00:00:00,BTC/USD,31108.30,31310.53,29831.85,30185.58,1909.67240307,57644569.09666173
1654560000,2022-06-07 00:00:00,BTC/USD,31351.10,31536.11,29184.25,31115.82,3672.30493412,114266779.31518978
1654473600,2022-06-06 00:00:00,BTC/USD,29905.46,31737.31,29868.16,31351.21,2494.10424691,78193186.00676726
1654387200,2022-06-05 00:00:00,BTC/USD,29834.06,30153.18,29514.96,29888.98,563.06294053,16829376.96824236
1654300800,2022-06-04 00:00:00,BTC/USD,29688.17,29948.84,29444.21,29853.51,472.40386055,14102913.37496803
1654214400,2022-06-03 00:00:00,BTC/USD,30437.77,30670.07,29232.99,29669.39,1151.14514737,34153774.323928
1654128000,2022-06-02 00:00:00,BTC/USD,29791.96,30688.82,29568.13,30437.18,1226.29074296,37324832.07580725
1654041600,2022-06-01 00:00:00,BTC/USD,31777.06,31962.79,29309.84,29787.40,2629.80184718,78334959.54268953
1653955200,2022-05-31 00:00:00,BTC/USD,31677.13,32375.81,31181.26,31762.76,1621.62249868,51507206.23617315
1653868800,2022-05-30 00:00:00,BTC/USD,29454.69,32195.68,29276.15,31731.22,3257.54873650,103365995.61860353
1653782400,2022-05-29 00:00:00,BTC/USD,29010.82,29561.04,28814.46,29448.94,909.19180016,26774734.771403827
1653696000,2022-05-28 00:00:00,BTC/USD,28606.08,29231.90,28498.73,29010.82,721.54694670,20932668.592263296
1653609600,2022-05-27 00:00:00,BTC/USD,29183.39,29360.34,28253.57,28589.48,2109.94198208,60322144.09783652
1653523200,2022-05-26 00:00:00,BTC/USD,29511.95,29853.34,28003.00,29183.06,2835.00522362,82734127.54121588
1653436800,2022-05-25 00:00:00,BTC/USD,29626.53,30189.70,29313.78,29510.15,1563.30877003,46133476.29990081
1653350400,2022-05-24 00:00:00,BTC/USD,29081.76,29810.38,28632.40,29632.15,1490.23613231,44158900.60802977
1653264000,2022-05-23 00:00:00,BTC/USD,30264.66,30628.00,28839.29,29081.76,2158.65047198,62777354.950009085
1653177600,2022-05-22 00:00:00,BTC/USD,29400.34,30457.58,29209.03,30264.66,1318.89417974,39915883.92580999
1653091200,2022-05-21 00:00:00,BTC/USD,29176.70,29621.01,28914.70,29421.05,490.42738451,14428888.601037936
1653004800,2022-05-20 00:00:00,BTC/USD,30271.22,30725.56,28690.13,29176.70,2337.17319044,68191001.02551074
1652918400,2022-05-19 00:00:00,BTC/USD,28681.15,30505.14,28656.46,30290.33,2516.77484526,76233940.59862433
1652832000,2022-05-18 00:00:00,BTC/USD,30423.90,30670.00,28615.23,28681.26,2318.15544994,66487619.18014612
1652745600,2022-05-17 00:00:00,BTC/USD,29847.53,30753.96,29400.00,30425.36,2143.92566327,65229710.118228525
1652659200,2022-05-16 00:00:00,BTC/USD,31275.27,31275.27,29060.00,29832.45,3112.79429009,92862280.01939541
1652572800,2022-05-15 00:00:00,BTC/USD,30041.16,31411.48,29440.71,31295.03,2085.06630084,65252212.436776824
1652486400,2022-05-14 00:00:00,BTC/USD,29239.41,30281.49,28561.23,30033.96,2910.99216303,87428622.1847565
1652400000,2022-05-13 00:00:00,BTC/USD,28932.69,30974.60,28686.37,29238.81,6010.27363922,175733248.98516214
1652313600,2022-05-12 00:00:00,BTC/USD,28999.99,30090.70,25401.05,28896.19,16578.81059900,479064461.0427178
1652227200,2022-05-11 00:00:00,BTC/USD,31002.27,32148.15,27757.77,29000.00,11180.84883589,324244616.24081
1652140800,2022-05-10 00:00:00,BTC/USD,30066.48,32650.00,29731.03,30999.97,7402.30231296,229471149.6326906
1652054400,2022-05-09 00:00:00,BTC/USD,34051.20,34224.35,30015.00,30082.00,7631.12166167,229559401.82635695
1651968000,2022-05-08 00:00:00,BTC/USD,35465.46,35496.55,33710.16,34025.50,2670.39981616,90861688.94475207
1651881600,2022-05-07 00:00:00,BTC/USD,36019.15,36123.99,34777.85,35463.46,1224.39699253,43421353.76870795
1651795200,2022-05-06 00:00:00,BTC/USD,36542.41,36648.20,35268.69,36019.22,2594.53333069,93453066.83545586
